rank,trial,score,momentum_period,volatility_period,entry_threshold,stop_loss,max_positions,cagr_full,mdd_full,sharpe_full,cagr_agg,mdd_agg,sharpe_agg,overfit_penalty,worst_segment,hard_penalty_triggered
1,15,-3.264163,44,19,0.04,-0.04000000000000001,2,144.2974,6.2519,3.8215,1.912001,0.047023,3.64756,5.0,SEG_1,False
2,3,-3.415363,44,18,0.05,-0.05,2,126.4819,6.2484,3.5521,1.732763,0.048313,3.34506,5.0,SEG_1,False
3,2,-3.472435,40,28,0.07,-0.060000000000000005,2,117.8374,5.5613,3.4306,1.766822,0.042738,3.1513,5.0,SEG_1,False
4,11,-3.472435,40,28,0.07,-0.07,2,117.8374,5.5613,3.4306,1.766822,0.042738,3.1513,5.0,SEG_1,False
5,9,-3.718475,54,18,0.05,-0.05,2,87.8455,8.095,2.7732,1.078496,0.055068,2.95408,5.0,SEG_1,False
6,12,-3.73221,46,24,0.06,-0.060000000000000005,2,80.3546,9.3943,2.7127,0.945221,0.063632,3.01982,5.0,SEG_1,False
7,8,-3.799924,42,21,0.03,-0.030000000000000006,2,84.4718,6.7092,2.877,0.974978,0.050071,2.7896,5.0,SEG_1,False
8,7,-3.823552,56,18,0.03,-0.04000000000000001,3,71.6028,8.026,2.4365,0.883963,0.054338,2.79198,5.0,SEG_1,False
9,10,-3.857341,46,23,0.06,-0.07,3,66.6094,9.4687,2.3428,0.776236,0.063504,2.78286,5.0,SEG_1,False
10,4,-3.898338,52,16,0.04,-0.060000000000000005,3,68.943,9.1053,2.291,0.777928,0.061527,2.66226,5.0,SEG_1,False
11,5,-4.013522,56,16,0.05,-0.05,2,65.3529,8.0808,2.2515,0.840828,0.054952,2.28072,5.0,SEG_1,False
12,14,-5.247801,40,25,0.05,-0.060000000000000005,3,103.8081,11.2477,2.7109,1.23779,0.080981,2.92208,6.547584,SEG_1,True
13,0,-5.369918,48,28,0.06,-0.05,2,57.1786,11.0904,2.1505,0.643002,0.074938,2.75426,6.464685,SEG_1,True
14,13,-5.843178,60,21,0.04,-0.060000000000000005,3,25.7827,11.0736,1.1393,0.295636,0.073857,1.62444,6.456098,SEG_1,True
15,18,-7.933411,44,14,0.04,-0.030000000000000006,2,25.5927,13.4468,1.1873,0.309301,0.09764,1.3071,8.429166,SEG_3,True
16,19,-8.314954,48,22,0.05,-0.04000000000000001,3,50.7439,14.1958,1.9036,0.662425,0.095466,2.57278,9.342846,SEG_1,True
17,1,-8.924437,42,14,0.07,-0.04000000000000001,4,89.5191,14.8132,2.3795,1.06192,0.107326,2.43718,10.0,SEG_1,True
18,6,-9.233712,52,16,0.03,-0.030000000000000006,4,30.0573,15.3277,1.3576,0.385003,0.102573,2.03162,10.0,SEG_3,True
19,17,-9.262423,48,19,0.04,-0.04000000000000001,4,24.5953,17.1366,1.1256,0.50302,0.114622,1.87906,10.0,SEG_3,True
